Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"47615-0001","Battery Spring x4","JB1, JB2, JB3, JB4, JB5, JB6, JB7, JB8, JB9, JB10, JB11, JB12, JB13, JB14, JB15, JB16, JB17, JB18","47615-0001","","47615-0001","18"
"0","R - Net Tie","NT_3_4, NT_8_9, NT_13_14, NT_13_14_2","NET_TIE","","NET_TIE","4"
"0603WAF0000T5E","R - RESISTOR - SMD - 0R - 1% - 0603","RC_0, RC_1, RC_2, RC_3, RC_4, RC_5, RC_6, RC_7, RC_8, RC_9, RC_10, RC_11, RC_12, RC_13, RC_14, RC_15, RC_16, RC_17, RC_18, RC_19, RC_20, RC_21, RC_22, RC_23, RC_24, RC_25, RC_26, RC_27, RC_28, RC_29, RC_30, RC_31, RC_32, RC_33, RC_34, RC_35, RC_36, RC_37, RC_38, RC_39, RC_40, RC_41, RC_42, RC_43, RC_44, RC_45, RC_46, RC_47, RC_48, RC_49, RC_50, RC_51, RC_52, RC_53, RC_54, RC_55, RC_56, RC_57, RC_58, RC_59, RC_60, RC_61, RC_62, RC_63, RC_64, RC_65, RC_66, RC_67, RC_68, RC_69, RC_70, RC_71, RC_72, RC_73, RC_74, RC_75, RC_76, RC_77, RC_78, RC_79, RC_80, RC_81, RC_82, RC_83, RC_84, RC_85, RC_86, RC_87, RC_88, RC_89, RC_90, RC_91, RC_92, RC_93, RC_94, RC_95, RC_96, RC_97, RC_98, RC_99, RC_100, RC_101, RC_102, RC_103, RC_104, RC_105, RC_106, RC_107, RC_108, RC_109, RC_110, RC_111, RC_112, RC_113, RC_114, RC_115, RC_116, RC_117, RC_118, RC_119, RC_120, RC_121, RC_122, RC_123, RC_124, RC_125, RC_126, RC_127, RC_128, RC_129, RC_130, RC_131, RC_132, RC_133, RC_134, RC_135, RC_136, RC_137, RC_138, RC_139, RC_140, RC_141, RC_142, RC_143, RC_144, RC_145, RC_146, RC_147, RC_148, RC_149, RC_150, RC_151, RC_152, RC_153, RC_154, RC_155, RC_156, RC_157, RC_158, RC_159, RC_160, RC_161, RC_162, RC_163, RC_164, RC_165, RC_166, RC_167, RC_168, RC_169, RC_170, RC_171, RC_172, RC_173, RC_174, RC_175, RC_176, RC_177, RC_178, RC_179, RC_180, RC_181, RC_182, RC_183, RC_184, RC_185, RC_186, RC_187, RC_188, RC_189, RC_190, RC_191, RC_192, RC_193, RC_194, RC_195, RC_196, RC_197, RC_198, RC_199, RC_200, RC_201, RC_202, RC_203, RC_204, RC_205, RC_206, RC_207, RC_208, RC_209, RC_210, RC_211, RC_212, RC_213, RC_214, RC_215, RC_216, RC_217, RC_218, RC_219, RC_220, RC_221, RC_222, RC_223, RC_224, RC_225, RC_226, RC_227, RC_228, RC_229, RC_230, RC_231, RC_232, RC_233, RC_234, RC_235, RC_236, RC_237, RC_238, RC_239, RC_240, RC_241, RC_242, RC_243, RC_244, RC_245, RC_246, RC_247, RC_248, RC_249, RC_250, RC_251, RC_252, RC_253, RC_254, RC_255, RC_256, RC_257, RC_258, RC_259, RC_260, RC_261, RC_262, RC_263, RC_264, RC_265, RC_266, RC_267, RC_268, RC_269, RC_270, RC_271, RC_272, RC_273, RC_274, RC_275, RC_276, RC_277, RC_278, RC_279, RC_280, RC_281, RC_282, RC_283, RC_284, RC_285, RC_286, RC_287, RC_288, RC_289, RC_290, RC_291, RC_292, RC_293, RC_294, RC_295, RC_296, RC_297, RC_298, RC_299, RC_300, RC_301, RC_302, RC_303, RC_304, RC_305, RC_306, RC_307, RC_308, RC_309, RC_310, RC_311, RC_312, RC_313, RC_314, RC_315, RC_316, RC_317, RC_318, RC_319, RC_320, RC_321, RC_322, RC_323, RC_324, RC_325, RC_326, RC_327, RC_328, RC_329, RC_330, RC_331, RC_332, RC_333, RC_334, RC_335, RC_336, RC_337, RC_338, RC_339, RC_340, RC_341, RC_342, RC_343, RC_344, RC_345, RC_346, RC_347, RC_348, RC_349, RC_350, RC_351, RC_352, RC_353, RC_354, RC_355, RC_356, RC_357, RC_358, RC_359, RC_360, RC_361, RC_362, RC_363, RC_364, RC_365, RC_366, RC_367, RC_368, RC_369, RC_370, RC_371, RC_372, RC_373, RC_374, RC_375, RC_376, RC_377, RC_378, RC_379, RC_380, RC_381, RC_382, RC_383, RC_384, RC_385, RC_386, RC_387, RC_388, RC_389, RC_390, RC_391, RC_392, RC_393, RC_394, RC_395, RC_396, RC_397, RC_398, RC_399, RC_400, RC_401, RC_402, RC_403, RC_404, RC_405, RC_406, RC_407, RC_408, RC_409, RC_410, RC_411, RC_412, RC_413, RC_414, RC_415, RC_416, RC_417, RC_418, RC_419, RC_420, RC_421, RC_422, RC_423, RC_424, RC_425, RC_426, RC_427, RC_428, RC_429, RC_430, RC_431","R_0603","C21189","0603WAF0000T5E","432"
"NCP15XH103F03RC","RT - NTC THERMISTOR - 10k - 1% - 0402","TSB_1, TSB_1-2, TSB_2_3, TSB_3-4, TSB_4_5, TSB_5-6, TSB_6_7, TSB_7-8, TSB_8_9, TSB_9-10, TSB_10_11, TSB_11-12, TSB_12","R_0402","C77131","NCP15XH103F03RC","13"
